ID	new_Prepositions_filtered	Imperfective lemma	Perfective lemma	group	Transit/Obj	arg_0	arg_1	arg_2	Examples: !Argument	comments: ?Complement *Collocation/Idiom	Distractors	Verb features
803	в! у!	искать	найти		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:в + Gov_Case:Locative	HEAD:Preposition + Base:у + Gov_Case:Genitive					
804	из!	исключать	исключить		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:из + Gov_Case:Genitive			исключил преступника из партии			
805		искупать	искупить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
806		искушать	искусить		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Noun + Case:Instrumental			искушал деву соблазнами			
807		исправлять	исправить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
808		испускать	испустить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
809	на!	испытывать	испытать		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:на + Gov_Case:Locative			испытать на себе	*на прочность		
810		истощать	истощить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
811	от! из!	исходить	изойти		—	HEAD:Preposition + Base:от + Gov_Case:Genitive / HEAD:Preposition + Base:из + Gov_Case:Genitive			исходить из соображений // зло исходит от зависти			
813	в? с!	исчезать	исчезнуть		—	HEAD:Preposition + Base:с + Gov_Case:Instrumental	HEAD:Preposition + Base:из + Gov_Case:Genitive					
814		итожить	подытожить		HEAD:Noun + Case:Accusative + Dependency_Type:obj		HEAD:Noun + Case:Instrumental					
815		каверзить	накаверзить		—							
816		каверзничать	накаверзничать		—							
817	на?	казаться	показаться		—							
818		каламбурить	скаламбурить		—							
819		калечить	искалечить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
820		калечить	покалечить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
821		калечиться	искалечиться		—							
822		калечиться	покалечиться		—							
823		калибровать	прокалибровать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
824		калькировать	скалькировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
825		калькулировать	скалькулировать		—							
25	от!	каменеть	окаменеть	BECOM	—	HEAD:Preposition + Base:от + Gov_Case:Genitive						
826		камуфлировать	закамуфлировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
827		канителить	проканителить		—							
828		канителиться	проканителиться		—							
829		канифолить	наканифолить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
830		кантовать	окантовать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
831	на! в? с!	капать	накапать		—	HEAD:Preposition + Base:на + Gov_Case:Accusative	HEAD:Preposition + Base:с + Gov_Case:Genitive					
832	на! по!	карабкаться	вскарабкаться		—	HEAD:Preposition + Base:на + Gov_Case:Accusative	HEAD:Preposition + Base:по + Gov_Case:Dative					
833		карать	покарать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
834	до!	касаться	коснуться		—	HEAD:Preposition + Base:до + Gov_Case:Genitive						
835		катать	скатать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
836	по! в?	катить	покатить		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:по + Gov_Case:Dative						
837	в! за!	каяться	покаяться		—	HEAD:Preposition + Base:в + Gov_Case:Locative	HEAD:Preposition + Base:за + Gov_Case:Accusative	HEAD:Preposition + Base:перед + Gov_Case:Instrumental				
838	в! за!	каяться	раскаяться		—	HEAD:Preposition + Base:в + Gov_Case:Locative	HEAD:Preposition + Base:за + Gov_Case:Accusative	HEAD:Preposition + Base:перед + Gov_Case:Instrumental				
839		квакать	проквакать		—							
840		квасить	заквасить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
841		квасить	сквасить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
842	на?	кивать	кивнуть		—							
26	от! в?	кипеть	вскипеть	BECOM	—	HEAD:Preposition + Base:от + Gov_Case:Genitive						
843		кипятить	вскипятить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
844		кипятиться	вскипятиться		—							
845		кипятиться	раскипятиться		—							
846		киснуть	прокиснуть		—							
847		киснуть	скиснуть		—							
848	в*	кланяться	поклониться		—	HEAD:Noun + Case:Dative			! царю в ноги	*кланяться в ноги		
849		классифицировать	расклассифицировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
850	на! в!	класть	положить		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:на + Gov_Case:Accusative / HEAD:Preposition + Base:в + Gov_Case:Accusative						
851	на! в!	класть	сложить		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:на + Gov_Case:Accusative / HEAD:Preposition + Base:в + Gov_Case:Accusative						
852	на!	клеветать	наклеветать		—	HEAD:Preposition + Base:на + Gov_Case:Genitive						
853	на!	клеить	приклеить		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:на + Gov_Case:Accusative						
854	на!	клеить	склеить		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:на + Gov_Case:Accusative						
855		клепать	выклепать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
856		клепать	склепать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
857	к! над! в*	клониться	склониться		—	HEAD:Preposition + Base:к + Gov_Case:Dative	HEAD:Preposition + Base:над + Gov_Case:Instrumental		ива клонилась над рекой к воде	*склониться в поклоне		
859	у!	клянчить	выклянчить		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:у + Gov_Case:Genitive						
860	в! на!	клясться	поклясться		HEAD:Noun + Case:Dative	HEAD:Preposition + Base:в + Gov_Case:Locative	HEAD:Preposition + Base:на + Gov_Case:Locative					
861		кляузничать	накляузничать		—							
862		ковать	выковать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
863		ковать	подковать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
864		ковать	сковать		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Noun + Case:Instrumental						
865		коверкать	исковеркать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
